Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD,CO2_Emissions_MT_Log,Total_Precipitation_mm_Log,Economic_Impact_Million_USD_Log,Temp_Precip_Ratio,Yield_Temp_Ratio,CO2_Temp_Ratio,EconomicImpact_per_CO2,Temp_Squared,Soil_Health_Squared,Climate_Efficiency,Yield_per_CO2,Weather_Region_Norm,Temperature_Binned,Precipitation_Binned,Climate_Zone,Country_Encoded,Region_Encoded,Crop_Type_Encoded,Adaptation_Strategies_Encoded,Temperature_Binned_Encoded,Precipitation_Binned_Encoded,Climate_Zone_Encoded,Cluster
2012,USA,South,Wheat,1.41,2271.3,27.01,2.358,10,98.61,32.3,41.89,42.89,Water Management,1022.43,3.332561589272017,7.7285478133777525,6.930915009992545,0.18244048352257797,1.672340425531915,2.3635188576397286,2.0797560148037872,1.9880999999999998,1839.5521,0.7362921787222803,0.7075638174522363,1.6924803591470259,Very Cold,Extremely Wet,Very Cold-Extremely Wet,9,24,9,4,5,1,31,0
2024,China,East,Fruits,15.85,339.88,6.45,3.159,10,22.61,27.71,31.54,77.08,Drought-resistant Crops,695.17,2.0082140323914683,5.831530509191657,6.545593883383106,2.7179828648786515,0.19930599369085172,0.12670120078179611,3.259410490020493,251.2225,5941.3264,0.5864010641722129,1.5730395012916654,1.6862260654725139,Cold,Very Dry,Cold-Very Dry,4,2,4,1,0,3,3,0
2015,India,Punjab,Sugarcane,-0.63,1213.41,2.06,2.51,5,90.78,29.26,32.39,64.05,Organic Farming,1008.27,1.1184149159642893,7.102013641126566,6.916982576232268,-0.08870723598047968,-3.9841269841269837,-1.775261771371888,6.184630120270254,0.39690000000000003,4102.402499999999,-3.28341367231767,2.244247608085498,0.891640866873065,Very Cold,Wet,Very Cold-Wet,6,20,7,3,5,5,35,1
2002,Argentina,Northwest,Soybeans,27.82,493.73,6.45,1.611,6,40.02,25.72,98.93010000000001,39.36,Water Management,180.24,2.0082140323914683,6.204012159208788,5.199822119798937,4.484194950957019,0.05790797987059669,0.0721859824727343,2.5892768579087972,773.9524,1549.2096,0.11728673540314886,0.8022053297185416,0.9769281476598549,Very Hot,Very Dry,Very Hot-Very Dry,0,12,6,4,6,3,39,0
2000,Brazil,North,Coffee,-0.99,2170.6,15.1,2.421,3,43.29,28.03,53.45,40.78,Crop Rotation,293.63,2.7788192719904172,7.683219502031296,5.685720331837793,-0.1288522343710554,-2.4454545454545453,-2.806888153525674,2.0460921619293417,0.9801,1663.0084000000002,-1.1266260690383052,0.8712333415860766,0.49809885931558934,Very Cold,Extremely Wet,Very Cold-Extremely Wet,2,8,1,0,5,1,31,1
2017,France,Provence-Alpes-Cote d’Azur,Cotton,12.46,564.34,22.47,3.024,7,39.25,6.93,53.67,34.85,Water Management,1409.77,3.155723009862932,6.337427320067039,7.251890933605041,1.9660974983565092,0.24269662921348314,0.2532682993469448,2.29801250329636,155.25160000000002,1214.5225,0.43005392000121045,0.9582590076976835,1.2328358208955223,Very Cold,Dry,Very Cold-Dry,5,19,3,4,5,0,30,0
2019,Argentina,Northwest,Wheat,20.33,1922.68,27.52,3.411,3,74.91,0.5199000000000001,65.28,49.1,No Adaptation,1291.04,3.3506055955460954,7.561995297226599,7.163977643615626,2.6884438829862973,0.1677816035415642,0.16481089992848477,2.138114271980738,413.30889999999994,2410.81,0.08726444522310743,1.0180249219825175,0.48846407382992746,Mild,Extremely Wet,Mild-Extremely Wet,0,12,9,2,3,1,19,0
2009,Nigeria,North West,Rice,13.82,2159.59,10.16,3.16,3,88.05,0.63,67.47,46.25,Water Management,748.69,2.412335956953165,7.6781366115281955,6.619659787751255,1.7999158779293167,0.22865412445730826,0.1745539766246863,2.7440870201644865,190.9924,2139.0625,0.1058784882580991,1.3099336312970071,0.48381185094685397,Very Cold,Extremely Wet,Very Cold-Extremely Wet,7,10,5,4,5,1,31,0
2001,China,Central,Vegetables,1.59,1114.73,16.5,1.125,8,85.83,45.11,31.06,75.97,Organic Farming,537.32,2.8622008809294686,7.017264178186275,6.288453178880062,0.22658403041781466,0.7075471698113207,1.8001263402072127,2.1970691228485526,2.5281000000000002,5771.4409,0.6347251530068454,0.3930541729253708,1.3140641522735284,Very Cold,Wet,Very Cold-Wet,4,1,8,3,5,5,35,0
2014,Nigeria,South East,Corn,18.83,2614.9,15.13,3.168,4,61.49,29.88,53.89,72.28,Organic Farming,1057.79,2.7806808921371173,7.869363485546751,6.96488202565402,2.392823769620513,0.16824216675517792,0.1476729098320296,2.5047397726752805,354.5688999999999,5224.3984,0.06433980907689699,1.1392893046297035,0.6349206349206349,Cool,Extremely Wet,Cool-Extremely Wet,7,25,2,3,1,1,7,0
2018,China,Central,Rice,8.93,2656.19,8.49,2.96,0,23.39,26.01,54.98,50.48,Organic Farming,821.47,2.2502386126218363,7.8850244524240765,6.712312007810195,1.132526608367672,0.3314669652855543,0.2519864067885595,2.9829334409960335,79.7449,2548.2303999999995,0.12479038219613595,1.3154160556116288,0.0,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,1,5,3,5,1,31,0
2015,India,Tamil Nadu,Barley,-0.84,2323.88,12.94,2.36,4,73.82,39.58,59.83,32.57,Crop Rotation,799.07,2.6347624053323777,7.751423703786239,6.684699223840026,-0.1083671893190016,-2.8095238095238093,-3.1366219111099736,2.5371165196190604,0.7055999999999999,1060.8049,-1.208979727663997,0.8957164392598367,0.6784741144414169,Very Cold,Extremely Wet,Very Cold-Extremely Wet,6,28,0,0,5,1,31,1
2001,Australia,New South Wales,Coffee,31.64,2318.97,16.11,0.8190000000000001,6,28.98,31.5,50.83,32.8,Drought-resistant Crops,246.56,2.839663087904102,7.749309533542267,5.511652976871161,4.082944404665834,0.02588495575221239,0.08974914942806897,1.9409531364297166,1001.0896,1075.84,0.011162264174272367,0.28841449659596324,1.0285714285714287,Very Hot,Extremely Wet,Very Hot-Extremely Wet,1,7,1,1,6,1,37,0
2006,Nigeria,North Central,Rice,16.73,2740.61,4.02,3.08,0,64.48,34.43,23.02,96.03,Crop Rotation,540.65,1.6134299337036377,7.9163006180588535,6.294620036391576,2.1133608748807653,0.18410041841004185,0.09643932658120967,3.9013903888235415,279.8929,9221.7609,0.06717497871278359,1.9089766067063367,0.0,Cold,Extremely Wet,Cold-Extremely Wet,7,9,5,0,0,1,1,0
2008,Brazil,North,Vegetables,30.54,2848.73,21.25,3.582,1,51.02,48.11,73.4,66.83,No Adaptation,1013.03,3.1023420086122493,7.954979531932773,6.921687769512294,3.8391047868076513,0.11728880157170923,0.10158290794408151,2.231116927243147,932.6916,4466.2489,0.041172312424030785,1.1546115773361536,0.16603295310519645,Very Hot,Extremely Wet,Very Hot-Extremely Wet,2,8,8,2,6,1,37,0
1998,Brazil,Southeast,Corn,34.62,1320.73,15.6,3.0690000000000004,3,38.24,24.53,19.99,75.54,Organic Farming,1514.28,2.8094026953624973,7.186696763546567,7.323355519348486,4.839497358009634,0.08824036802760207,0.08077638572060084,2.606730438266186,1198.5443999999998,5706.291600000001,0.06681181469914524,1.0924030239830063,0.5214285714285715,Very Hot,Wet,Very Hot-Wet,2,27,2,3,6,5,41,0
2005,Russia,Northwestern,Rice,7.58,741.5,20.78,0.55,2,20.91,13.66,21.32,57.05,Drought-resistant Crops,243.85,3.0809921175048145,6.610022870676855,5.500645778148327,1.1467433847507733,0.06886543535620053,0.406463340040213,1.785348864379148,57.4564,3254.7025,0.09287314275954218,0.1848153884773894,0.34923076923076923,Very Cold,Dry,Very Cold-Dry,8,13,5,1,5,0,30,0
2022,USA,South,Cotton,28.66,1361.1,24.51,3.096,0,12.7,10.58,20.32,93.49,Crop Rotation,389.42,3.23907053215372,7.216782905453296,5.9672230827349475,3.9712986209330663,0.1080251221214236,0.11301711556712213,1.8422640147842742,821.3956000000001,8740.380099999998,0.07936604373038249,0.9558297571067125,0.0,Very Hot,Wet,Very Hot-Wet,9,24,3,0,6,5,41,0
1999,Australia,Western Australia,Sugarcane,0.37,2286.82,22.57,0.5850000000000001,10,93.56,42.32,60.24,61.85,Organic Farming,113.45,3.1599747169480397,7.735354678076266,4.740138046398576,0.047832325135479976,1.5810810810810814,6.390798667365405,1.5000556874634383,0.1369,3825.4225,0.6913885137794322,0.18512806348178748,1.621223286661754,Very Cold,Extremely Wet,Very Cold-Extremely Wet,1,33,7,3,5,1,31,2
2023,France,Nouvelle-Aquitaine,Sugarcane,14.1,857.37,8.58,2.77,2,31.01,15.78,24.79,34.72,Water Management,786.24,2.2596775919827694,6.755035241963922,6.6685331574552364,2.0873318191454233,0.19645390070921986,0.16026082212643755,2.9510993874147715,198.81,1205.4784,0.2291354965874942,1.2258385930045201,0.3351063829787234,Very Cold,Moderate,Very Cold-Moderate,5,14,7,4,5,2,32,0
2013,USA,Midwest,Vegetables,33.34,471.95,12.25,1.539,6,70.68,32.43,74.47,33.81,Organic Farming,490.68,2.583997552432231,6.158989674659179,6.197828098382175,5.413225506315683,0.04616076784643071,0.07750442568782936,2.398542557653882,1111.5556000000001,1143.1161000000002,0.0978085980430781,0.5955887994365128,0.952919020715631,Very Hot,Very Dry,Very Hot-Very Dry,9,6,8,3,6,3,39,0
2013,Brazil,Northeast,Sugarcane,4.24,1089.02,13.98,1.81,1,85.36,32.55,89.48,99.3502,No Adaptation,674.79,2.7067159780890733,6.993951323678709,6.5158823768934075,0.6062381340352004,0.4268867924528302,0.6383764099266682,2.4073018483060733,17.977600000000002,9870.462244,0.3919916920284569,0.668707028979764,0.16451542332093635,Very Cold,Moderate,Very Cold-Moderate,2,11,7,2,5,2,32,0
2022,Nigeria,South East,Rice,28.28,2404.62,1.06,3.52,8,57.79,22.56,29.9,80.69,Water Management,1202.7,0.7227059828014898,7.785562945573912,7.093155425385689,3.6323641845420007,0.12446958981612447,0.025555374215045605,9.814718010068017,799.7584,6510.8760999999995,0.05176268591965652,4.431302517100311,1.2698412698412698,Very Hot,Extremely Wet,Very Hot-Extremely Wet,7,25,5,4,6,1,37,0
2001,China,East,Coffee,27.49,2688.6,5.21,1.71,6,67.25,23.16,38.51,82.75,Crop Rotation,305.06,1.8261608959453874,7.897147762654351,5.72378116116289,3.481003626397918,0.06220443797744635,0.06643000712787878,3.1343246774538662,755.7000999999999,6847.5625,0.023136367617885276,0.9363906563746389,1.0117356392835084,Very Hot,Extremely Wet,Very Hot-Extremely Wet,4,2,1,0,6,1,37,0
2006,USA,South,Corn,20.5,865.03,3.89,3.96,10,76.51,47.2,90.35,80.45,Crop Rotation,1624.53,1.5871923034867808,6.763919549994746,7.393589195433388,3.0307870826192667,0.19317073170731708,0.07742401480423321,4.658281910258121,420.25,6472.2025,0.2233110200886872,2.4949717758211025,1.6924803591470259,Mild,Moderate,Mild-Moderate,9,24,2,0,3,2,20,0
2018,Australia,Victoria,Vegetables,-1.52,2909.45,22.49,1.521,2,40.74,24.97,23.61,77.46,No Adaptation,741.8,3.1565747986708215,7.976062987385391,6.61042682947855,-0.19057021019066284,-1.000657894736842,-2.0766939464939616,2.094177154383316,2.3104,6000.051599999999,-0.343933697000066,0.4818514044528476,0.32926119837114604,Very Cold,Extremely Wet,Very Cold-Extremely Wet,1,29,8,2,5,1,31,0
1990,Brazil,Northeast,Sugarcane,3.48,1882.68,2.19,0.64,9,80.73,29.09,83.4,75.09,Crop Rotation,259.97,1.1600209167967532,7.540982589329887,5.564405458187559,0.46147832311985787,0.1839080459770115,0.333339343907113,4.796814762231133,12.1104,5638.508100000001,0.09768417679956842,0.5517141895745094,1.480638809888427,Very Cold,Extremely Wet,Very Cold-Extremely Wet,2,11,7,0,5,1,31,0
2005,Canada,Prairies,Fruits,27.0,427.52,19.42,2.367,5,92.09,38.96,56.62,36.98,Water Management,280.64,3.01651481273652,6.060337411394357,5.640629659650933,4.455197486073281,0.08766666666666667,0.11172277084209332,1.869916115059243,729.0,1367.5203999999999,0.20505863273453095,0.7846803834696593,0.800395256916996,Hot,Very Dry,Hot-Very Dry,3,18,4,4,2,3,15,0
1993,Argentina,Patagonia,Wheat,5.54,2409.73,19.04,1.062,9,92.72,47.64,22.5,51.7,No Adaptation,472.94,2.997730276216664,7.78768488518269,6.1610807314043825,0.7113795796412784,0.19169675090252708,0.5411065480535494,2.055248525954803,30.6916,2672.8900000000003,0.07955113265906433,0.3542680301912669,1.4041353383458648,Very Cold,Extremely Wet,Very Cold-Extremely Wet,0,17,9,2,5,1,31,0
2022,Australia,Queensland,Corn,-2.81,1597.86,2.32,1.92,1,18.52,7.68,86.47,95.51,Water Management,708.32,1.199964782928397,7.377046154279115,6.564306764624279,-0.3809112673600445,-0.6832740213523131,-0.4270337305795007,5.4704161805521725,7.896100000000001,9122.160100000001,-0.4276182026912953,1.6000469574735579,0.16449934980494146,Very Cold,Very Wet,Very Cold-Very Wet,1,22,2,4,5,4,34,0
2007,France,Grand Est,Fruits,-2.11,2717.45,27.62,2.196,4,92.3,46.92,84.71,85.57,Water Management,1018.47,3.3541057741283047,7.90781714392097,6.927038163392242,-0.2668245814993376,-1.0407582938388626,-1.5896235896342676,2.0652414174959954,4.4521,7322.224899999999,-0.3829907795318636,0.6547199605148757,0.7021423635107119,Very Cold,Extremely Wet,Very Cold-Extremely Wet,5,3,4,4,5,1,31,0
2000,Canada,Prairies,Sugarcane,7.2,1597.2,17.27,0.927,7,73.16,2.29,96.39,67.74,Organic Farming,257.41,2.9052603703899154,7.376633274940362,5.554547470850036,0.9760550283094032,0.12875,0.4035083847763771,1.9118931740030445,51.84,4588.7076,0.08060981718006512,0.31907639309986774,1.1205533596837944,Very Cold,Very Wet,Very Cold-Very Wet,3,18,7,3,5,4,34,0
2011,China,North,Corn,17.11,2634.06,9.85,4.38,3,81.17,37.08,49.17,57.72,Crop Rotation,1031.87,2.3841650799864684,7.876661231114703,6.940096614152799,2.1722401786700427,0.2559906487434249,0.13934337112720446,2.9109127855325307,292.7521,3331.5984,0.09718482067357043,1.8371211107684116,0.49809885931558934,Cool,Extremely Wet,Cool-Extremely Wet,4,8,2,0,1,1,7,0
2019,France,Grand Est,Vegetables,4.13,1832.19,8.38,2.51,1,87.89,11.03,32.76,46.81,Organic Farming,906.74,2.238579763018133,7.513812897677913,6.810957993984799,0.54965435741371,0.6077481840193705,0.5420289983094754,3.042535319269581,17.0569,2191.1761,0.33170587330973883,1.1212466231785854,0.17553559087767798,Very Cold,Extremely Wet,Very Cold-Extremely Wet,5,3,8,3,5,1,31,0
2019,USA,Northeast,Rice,13.31,745.44,2.91,4.37,7,22.05,27.22,59.66,56.47,Water Management,836.5,1.3635373739972745,6.615315238665271,6.730421263699221,2.011997844366593,0.32832456799398946,0.10244458106666224,4.936000576184188,177.1561,3188.8608999999997,0.44044399011857355,3.204899318006325,1.1516079632465543,Very Cold,Dry,Very Cold-Dry,9,11,5,4,5,0,30,0
2007,France,Nouvelle-Aquitaine,Rice,7.99,1946.76,20.41,1.827,8,77.58,25.1,71.6,79.38,Organic Farming,411.64,3.0638581026015914,7.574435273326912,6.022575542133034,1.0548641201194873,0.22866082603254068,0.3834615898124645,1.9656835729497815,63.84010000000001,6301.184399999999,0.11745712159307807,0.5963069890373359,1.3404255319148937,Very Cold,Extremely Wet,Very Cold-Extremely Wet,5,14,5,3,5,1,31,0
1992,Argentina,Pampas,Barley,22.73,667.28,15.86,2.6910000000000003,1,40.94,21.14,18.67,98.58,Water Management,549.32,2.8249439525737094,6.504707247389577,6.310499927217759,3.49439246618237,0.11838979322481304,0.12428261999884335,2.2338496030933563,516.6529,9718.0164,0.17742146209209483,0.9525852707797344,0.16880180859080632,Moderate,Dry,Moderate-Dry,0,16,0,4,4,0,24,0
2009,Nigeria,North Central,Corn,-1.78,2634.21,7.03,2.31,6,88.8,15.74,58.52,58.48,No Adaptation,623.87,2.0831845279586703,7.876718154194561,6.437543628101402,-0.22598244156446082,-1.297752808988764,-1.170328386493635,3.090241666881812,3.1684,3419.9103999999998,-0.49265351243399885,1.108879203448956,1.0254545454545454,Very Cold,Extremely Wet,Very Cold-Extremely Wet,7,9,2,2,5,1,31,0
2013,China,Central,Soybeans,-2.99,2807.91,10.85,2.94,0,16.22,3.34,66.55,95.05,Water Management,1324.42,2.47232786758114,7.940551786719116,7.189484669324493,-0.3765481392616685,-0.983277591973244,-0.8268655075522208,2.907981891721543,8.940100000000001,9034.502499999999,-0.3501813063713738,1.1891626667123312,0.0,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,1,6,4,5,1,31,0
2016,China,South,Sugarcane,28.69,2276.92,15.09,1.836,2,54.07,8.81,8.24,48.33,No Adaptation,369.87,2.7781979610042917,7.731018024865436,5.915851596888831,3.7110248492143922,0.0639944231439526,0.09683506312318897,2.1293844714904,823.1161000000001,2335.7889,0.028105696793893766,0.6608600343714541,0.33849607182940517,Very Hot,Extremely Wet,Very Hot-Extremely Wet,4,24,7,2,6,1,37,0
1992,Australia,Queensland,Fruits,15.43,399.9,23.17,2.124,1,91.0,28.86,86.8,66.38,Organic Farming,1022.65,3.1851121947153915,5.993712019648461,6.931129950298588,2.5743645923290437,0.13765392093324694,0.20642334379231314,2.176102292973678,238.0849,4406.304399999999,0.3442208575475042,0.6668524906356688,0.16449934980494146,Cold,Very Dry,Cold-Very Dry,1,22,4,3,0,3,3,0
1991,Russia,Siberian,Coffee,6.58,2552.83,23.85,0.55,10,89.7,40.84,54.88,99.3502,Water Management,145.72,3.2128577525426376,7.845349472121834,4.988526008508154,0.8387134344214738,0.07249240121580547,0.48827625418581116,1.5526756528701786,43.2964,9870.462244,0.02839687766745356,0.1848153884773894,1.726315789473684,Very Cold,Extremely Wet,Very Cold-Extremely Wet,8,23,1,4,5,1,31,0
2012,China,Central,Rice,10.72,2251.07,1.7,1.7,8,11.07,43.28,1.19,46.83,Organic Farming,268.82,0.9932517730102834,7.71960507225785,5.597755070010671,1.3886720757937152,0.1585820895522388,0.09265408330319808,5.6357866375061745,114.91840000000002,2193.0489,0.07044742702458777,1.7115499274144255,1.3140641522735284,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,1,5,3,5,1,31,0
1995,Brazil,North,Vegetables,22.64,2448.4,27.23,0.945,4,46.14,43.04,82.68,83.72,Drought-resistant Crops,304.95,3.340385242265398,7.803598375587187,5.72342168990855,2.901225679531007,0.041740282685512366,0.14754351776790625,1.7134016811866326,512.5696,7009.0383999999995,0.017047983452668013,0.28290150131279934,0.6641318124207858,Moderate,Extremely Wet,Moderate-Extremely Wet,2,8,8,1,4,1,25,0
2007,Argentina,Pampas,Vegetables,31.87,1178.85,25.98,3.591,5,20.14,33.17,66.23,81.31,Organic Farming,600.51,3.2950958507796098,7.073142590735383,6.399443160380445,4.505776547152364,0.1126764982742391,0.10339177442044586,1.9421113831533476,1015.6969,6611.3161,0.09558170952558775,1.0898013783575917,0.8440090429540316,Very Hot,Wet,Very Hot-Wet,0,16,8,3,6,5,41,0
1997,India,West Bengal,Wheat,-2.45,400.65,4.82,2.3400000000000003,4,96.44,20.22,89.03,43.2,No Adaptation,414.44,1.7613002617433464,5.995581062619822,6.029338199536063,-0.408634288221841,-0.9551020408163265,-0.7188980660176923,3.423231308424485,6.002500000000001,1866.2400000000002,-2.3838812949365447,1.3285639313332374,0.6811224489795918,Very Cold,Very Dry,Very Cold-Very Dry,6,32,9,2,5,3,33,0
1990,France,Grand Est,Cotton,9.74,923.99,17.65,1.512,2,82.21,4.32,58.11,74.43,Crop Rotation,405.86,2.9258461460898246,6.829782926643177,6.008469145923806,1.4261068184179007,0.15523613963039015,0.3003948815287294,2.0535834237058834,94.86760000000001,5539.824900000001,0.16800629836945222,0.5167735842913939,0.35107118175535595,Very Cold,Moderate,Very Cold-Moderate,5,3,3,0,5,2,32,0
1997,Nigeria,South West,Corn,14.43,2169.95,29.67,2.592,4,68.79,39.53,1.5,95.08,Drought-resistant Crops,682.52,3.4232849781261603,7.682920138751723,6.527255916891721,1.8781921117748992,0.17962577962577964,0.23723388621802913,1.9067229163213324,208.2249,9040.2064,0.08277876431520527,0.757167462411736,0.677115987460815,Very Cold,Extremely Wet,Very Cold-Extremely Wet,7,26,2,1,5,1,31,0
2005,Russia,Northwestern,Vegetables,5.68,2276.04,1.73,1.72,2,18.07,49.27,36.26,96.86,Crop Rotation,282.07,1.0043016091968684,7.730631632883531,5.645694216880635,0.7347394455893064,0.3028169014084507,0.17681366359099795,5.621512666294988,32.2624,9381.8596,0.13304550948509283,1.712632922469844,0.34923076923076923,Very Cold,Extremely Wet,Very Cold-Extremely Wet,8,13,8,0,5,1,31,0
2022,Brazil,South,Vegetables,15.38,2365.25,22.4,3.96,6,14.82,18.06,26.38,76.4,No Adaptation,988.26,3.152736022363656,7.7690617025235325,6.896957188882625,1.9796470396166757,0.2574772431729519,0.20498933825511415,2.187610107525548,236.54440000000002,5836.960000000001,0.10885836303686794,1.2560518774518665,1.0154882154882157,Cold,Extremely Wet,Cold-Extremely Wet,2,24,8,2,0,1,1,0
2002,Argentina,Patagonia,Wheat,6.04,1159.87,17.71,2.259,9,78.26,3.51,55.77,38.34,Water Management,996.32,2.9290581402859983,7.0569250029909565,6.905071681352935,0.8558968668988334,0.37400662251655625,0.48494340070960235,2.3574375620549177,36.4816,1469.9556000000002,0.32245563943938227,0.7712376783956317,1.4041353383458648,Very Cold,Wet,Very Cold-Wet,0,17,9,4,5,5,35,0
1996,Argentina,Northwest,Sugarcane,0.66,1113.77,15.33,0.55,8,49.66,13.79,56.36,91.61,Organic Farming,187.21,2.7930039069823738,7.016403384589075,5.237558360702472,0.09406528727376666,0.7090909090909091,4.231824101488445,1.8752420458878813,0.43560000000000004,8392.3921,0.6366582948821651,0.1848153884773894,1.3025708635464732,Very Cold,Wet,Very Cold-Wet,0,12,7,3,5,5,35,2
1992,France,Ile-de-France,Corn,5.33,417.15,28.52,0.63,1,66.63,2.52,3.28,83.43,Water Management,134.8,3.385067999732272,6.035840219827534,4.911183215124596,0.8830584982172205,0.11819887429643527,0.6350971856908577,1.4908875512892326,28.4089,6960.564900000001,0.2833486139192983,0.18611147547104734,0.16666666666666666,Very Cold,Very Dry,Very Cold-Very Dry,5,4,2,4,5,3,33,0
2013,USA,Midwest,Cotton,34.33,1162.0,24.57,1.179,7,58.84,19.35,20.71,92.25,Crop Rotation,302.45,3.2414197893030954,7.0587581525186645,5.7152168522818645,4.863461710718984,0.03434314011069036,0.09441945206242632,1.7631831801429938,1178.5488999999998,8510.0625,0.02955519802985401,0.3637295002303558,1.1117388575015694,Very Hot,Wet,Very Hot-Wet,9,6,3,0,6,5,41,0
2014,China,South,Vegetables,-4.32,2767.76,10.27,1.94,8,73.43,18.56,7.39,36.41,No Adaptation,433.87,2.422144328051685,7.9261548455250725,6.07504713584924,-0.5450309871802435,-0.449074074074074,-0.5606815574193714,2.50812763941935,18.6624,1325.6880999999998,-0.16225181160002095,0.800943188038877,1.3539842873176207,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,24,8,2,5,1,31,0
2013,France,Grand Est,Wheat,18.0,2585.68,25.34,2.862,1,18.32,32.15,98.93010000000001,61.36,No Adaptation,1226.79,3.271088696315135,7.858130479135045,7.112971084311263,2.2906211659113715,0.159,0.1817271497952853,2.174496549825747,324.0,3765.0496,0.06149252807772037,0.8749380605986101,0.17553559087767798,Cool,Extremely Wet,Cool-Extremely Wet,5,3,9,2,1,1,7,0
2000,India,Maharashtra,Coffee,12.54,2610.53,5.19,2.81,1,85.12,23.75,9.08,37.85,Water Management,1049.61,1.8229350866965048,7.867691535461146,6.957126226845016,1.5938601486191841,0.2240829346092504,0.14536962413847726,3.816442109001596,157.25159999999997,1432.6225000000002,0.08583809977638655,1.5414701381891986,0.177938808373591,Very Cold,Extremely Wet,Very Cold-Extremely Wet,6,5,1,4,5,1,31,0
2013,Russia,Siberian,Sugarcane,34.35,2825.44,9.33,2.66,3,11.33,6.16,71.9,89.66,Crop Rotation,961.94,2.3350522831315472,7.94677324822331,6.8699911045611195,4.322509140131784,0.07743813682678312,0.06797823240557634,2.942114467496098,1179.9225000000001,8038.915599999999,0.02740746107748992,1.1391607884825021,0.5178947368421052,Very Hot,Extremely Wet,Very Hot-Extremely Wet,8,23,7,0,6,1,37,0
1998,Nigeria,South East,Cotton,14.38,432.38,19.94,4.176,2,97.13,1.55,79.56,98.45,No Adaptation,1897.4970000000005,3.041661205442391,6.07161494129081,7.548817789473194,2.368397887390212,0.29040333796940193,0.2115202507261746,2.484956820039458,206.78440000000003,9692.4025,0.6716391553018223,1.3729339719124394,0.31746031746031744,Very Cold,Very Dry,Very Cold-Very Dry,7,25,3,2,5,3,33,0
2008,Canada,Ontario,Corn,22.26,466.36,3.79,2.727,7,24.41,28.03,72.49,35.64,Crop Rotation,1021.99,1.5665304114228238,6.147099838639431,6.930484990732784,3.6212198572208196,0.12250673854447437,0.07037423231908461,4.424098594063087,495.5076000000001,1270.2096000000001,0.26268706266505354,1.7407896968455039,1.1717485998755446,Moderate,Very Dry,Moderate-Very Dry,3,15,2,0,4,3,27,0
1999,China,Central,Coffee,26.32,1931.5,22.26,2.817,5,15.24,37.72,68.09,71.8,No Adaptation,907.34,3.1467351470905185,7.5665697804615775,6.811618757851843,3.4784586362982597,0.10702887537993921,0.11955680650039964,2.1646622418000088,692.7424,5155.24,0.05541230928290925,0.8952135684519262,0.8212900951709553,Hot,Extremely Wet,Hot-Extremely Wet,4,1,1,2,2,1,13,0
1997,France,Nouvelle-Aquitaine,Vegetables,15.0,942.69,13.85,1.8,2,23.35,1.01,93.97,45.06,Water Management,627.78,2.6979998652487085,6.8497977223832445,6.443781433993379,2.1898456871192193,0.12000000000000001,0.17986665768324722,2.3883549873340617,225.0,2030.4036,0.12729529325653186,0.6671608932174915,0.3351063829787234,Very Cold,Moderate,Very Cold-Moderate,5,14,8,4,5,2,32,0
1994,Brazil,Northeast,Soybeans,5.38,1234.01,8.6,1.89,7,95.35,15.41,10.84,90.78,No Adaptation,217.7,2.2617630984737906,7.118834346195287,5.387700927682722,0.7557417041001073,0.35130111524163565,0.420402062913344,2.382080126481096,28.944399999999998,8241.0084,0.28468255139069837,0.8356312830797126,1.1516079632465543,Very Cold,Wet,Very Cold-Wet,2,11,6,2,5,5,35,0
2022,Brazil,Southeast,Rice,20.67,2672.82,12.6,3.66,3,49.66,2.04,78.79,68.92,Water Management,893.68,2.6100697927420065,7.891263440512072,6.7964661124420696,2.6193524212972803,0.17706821480406384,0.12627333298219673,2.6039403740625833,427.24890000000005,4749.9664,0.06624771395158066,1.4022613533851103,0.5214285714285715,Mild,Extremely Wet,Mild-Extremely Wet,2,27,5,4,3,1,19,0
2013,Russia,Central,Rice,24.53,1510.77,5.02,3.96,1,83.69,34.39,23.27,74.11,Drought-resistant Crops,1139.72,1.7950872593207297,7.321036428766488,7.039414920973864,3.3506184866960194,0.16143497757847533,0.07317926046965877,3.9214889885841067,601.7209,5492.2921,0.1068560916476203,2.206020893657551,0.16425801903419104,Warm,Very Wet,Warm-Very Wet,8,1,5,1,7,4,46,0
2011,Russia,Northwestern,Soybeans,2.1,578.13,5.98,1.42,1,41.41,15.2,95.86,75.5,Organic Farming,621.98,1.943048916774281,6.361526977414198,6.4345144155434175,0.33010942301365476,0.6761904761904761,0.9252613889401338,3.311555545511209,4.41,5700.25,1.169616654023275,0.7308102167378207,0.17461538461538462,Very Cold,Dry,Very Cold-Dry,8,13,6,3,5,0,30,0
